sepal length,sepal width,petal length,petal width,class,,norm,,sepal length,sepal width,petal length,petal width,class
5.1,3.5,1.4,0.2,Iris-setosa,,6.345076832,,0.803772773,0.551608766,0.220643506,0.031520501,Iris-setosa
4.9,3,1.4,0.2,Iris-setosa,,5.916924877,,0.828132873,0.507020127,0.236609392,0.033801342,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa,,5.836094585,,0.805333075,0.548311881,0.222751702,0.034269493,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa,,5.749782605,,0.800030247,0.539150819,0.260879429,0.034783924,Iris-setosa
5,3.6,1.4,0.2,Iris-setosa,,6.321392252,,0.790964996,0.569494797,0.221470199,0.0316386,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa,,6.88621812,,0.784174986,0.566348601,0.246869903,0.058087036,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa,,5.896609195,,0.780109356,0.576602567,0.237424587,0.050876697,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa,,6.232976817,,0.802184919,0.545485745,0.240655476,0.032087397,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,,5.456189146,,0.806423656,0.531506501,0.256589345,0.036655621,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,,5.989991653,,0.81803119,0.517529937,0.250417711,0.016694514,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa,,6.718630813,,0.803735188,0.550707444,0.223259774,0.02976797,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa,,6.099180273,,0.786991003,0.55745196,0.262330334,0.032791292,Iris-setosa
4.8,3,1.4,0.1,Iris-setosa,,5.831809325,,0.823072178,0.514420111,0.240062718,0.017147337,Iris-setosa
4.3,3,1.1,0.1,Iris-setosa,,5.35817133,,0.802512599,0.559892511,0.205293921,0.018663084,Iris-setosa
5.8,4,1.2,0.2,Iris-setosa,,7.149825173,,0.811208646,0.559454239,0.167836272,0.027972712,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa,,7.366138744,,0.77381111,0.597327875,0.203634503,0.054302534,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa,,6.798529253,,0.794289441,0.573653485,0.191217828,0.058836255,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa,,6.349015672,,0.803274124,0.551266555,0.220506622,0.047251419,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa,,7.064700984,,0.806828203,0.537885469,0.240632973,0.042464642,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa,,6.541406577,,0.779648832,0.580914816,0.22930848,0.045861696,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa,,6.606814664,,0.817337897,0.514620157,0.257310079,0.030271774,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa,,6.489221833,,0.785918579,0.570176224,0.231152523,0.061640673,Iris-setosa
4.6,3.6,1,0.2,Iris-setosa,,5.929586832,,0.775770746,0.607124932,0.168645814,0.033729163,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa,,6.327716808,,0.805977915,0.521515122,0.268659305,0.079017443,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa,,6.184658438,,0.776114,0.549747417,0.307211792,0.032338083,Iris-setosa
5,3,1.6,0.2,Iris-setosa,,6.049793385,,0.826474506,0.495884704,0.264471842,0.03305898,Iris-setosa
5,3.4,1.6,0.4,Iris-setosa,,6.267375846,,0.797782058,0.542491799,0.255290259,0.063822565,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa,,6.448255578,,0.806419649,0.542782456,0.232621053,0.03101614,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa,,6.371812929,,0.816094267,0.533600097,0.219717687,0.031388241,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa,,5.910160742,,0.795240638,0.541440434,0.270720217,0.033840027,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa,,5.937171044,,0.808465844,0.522134191,0.269488615,0.033686077,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa,,6.567343451,,0.822250281,0.51771314,0.228402856,0.060907428,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa,,6.790434449,,0.765783108,0.603790528,0.220898974,0.014726598,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa,,7.063285355,,0.778674473,0.594624143,0.198208048,0.028315435,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,,5.989991653,,0.81803119,0.517529937,0.250417711,0.016694514,Iris-setosa
5,3.2,1.2,0.2,Iris-setosa,,6.059702963,,0.825122952,0.52807869,0.198029509,0.033004918,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa,,6.650563886,,0.826997544,0.526271164,0.195472147,0.030072638,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,,5.989991653,,0.81803119,0.517529937,0.250417711,0.016694514,Iris-setosa
4.4,3,1.3,0.2,Iris-setosa,,5.485435261,,0.802124133,0.546902818,0.236991221,0.036460188,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa,,6.313477647,,0.807795685,0.538530457,0.237586966,0.031678262,Iris-setosa
5,3.5,1.3,0.3,Iris-setosa,,6.247399459,,0.800333008,0.560233105,0.208086582,0.04801998,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa,,5.226853738,,0.860938573,0.440035271,0.248715588,0.057395905,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa,,5.597320788,,0.786090376,0.571702091,0.232253975,0.035731381,Iris-setosa
5,3.5,1.6,0.6,Iris-setosa,,6.337980751,,0.788894791,0.552226354,0.252446333,0.094667375,Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa,,6.649812027,,0.766938972,0.571444724,0.285722362,0.060152076,Iris-setosa
4.8,3,1.4,0.3,Iris-setosa,,5.838664231,,0.822105847,0.513816154,0.239780872,0.051381615,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa,,6.561249881,,0.777290927,0.579157945,0.243855977,0.030481997,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa,,5.779273311,,0.795947821,0.553702832,0.242244989,0.034606427,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa,,6.638523932,,0.798370248,0.557352815,0.225953844,0.030127179,Iris-setosa
5,3.3,1.4,0.2,Iris-setosa,,6.155485359,,0.812283631,0.536107197,0.227439417,0.032491345,Iris-setosa
7,3.2,4.7,1.4,Iris-versicolor,,9.126335519,,0.767011029,0.350633613,0.51499312,0.153402206,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor,,8.584870413,,0.745497566,0.372748783,0.524177976,0.174725992,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor,,9.136739024,,0.755192852,0.339289542,0.536296373,0.164172359,Iris-versicolor
5.5,2.3,4,1.3,Iris-versicolor,,7.295889254,,0.753849162,0.315246013,0.548253936,0.178182529,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor,,8.5732141,,0.758175397,0.326598632,0.536554896,0.174963553,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor,,7.891134266,,0.722329618,0.354828584,0.570260225,0.164741843,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor,,8.673522929,,0.726348457,0.38046824,0.541879008,0.18446945,Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor,,6.454455825,,0.759165472,0.371836149,0.511274705,0.154931729,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor,,8.64985549,,0.763018528,0.335265717,0.531800792,0.150291528,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor,,7.176350047,,0.724602335,0.376235828,0.543451751,0.195085244,Iris-versicolor
5,2,3.5,1,Iris-versicolor,,6.5,,0.769230769,0.307692308,0.538461538,0.153846154,Iris-versicolor
5.9,3,4.2,1.5,Iris-versicolor,,7.981227976,,0.739234616,0.375882008,0.526234812,0.187941004,Iris-versicolor
6,2.2,4,1,Iris-versicolor,,7.605261337,,0.788927525,0.289273426,0.525951683,0.131487921,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor,,8.346855695,,0.73081412,0.347436221,0.563086289,0.167727831,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor,,7.376991257,,0.759117072,0.393114198,0.488003832,0.176223606,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor,,8.707468059,,0.769454445,0.356016236,0.505313367,0.160781526,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor,,7.928429857,,0.706318918,0.378385135,0.567577702,0.189192567,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor,,7.664202503,,0.756764973,0.352287143,0.53495455,0.130476719,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor,,8.110487038,,0.764442378,0.271253747,0.55483721,0.184945737,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor,,7.350510186,,0.761851879,0.340112446,0.530575416,0.149649476,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor,,8.44570897,,0.698579601,0.378890631,0.568335946,0.21312598,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor,,7.920858539,,0.770118538,0.353497034,0.504995763,0.164123623,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor,,8.497058314,,0.741433066,0.294219471,0.576670163,0.176531682,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor,,8.281304245,,0.736598949,0.338110993,0.567543452,0.144904711,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor,,8.339664262,,0.767416985,0.347735821,0.515608286,0.155881575,Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor,,8.595347579,,0.767857255,0.349026025,0.511904837,0.162878812,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor,,8.89269363,,0.764672695,0.314865227,0.539768961,0.157432614,Iris-versicolor
6.7,3,5,1.7,Iris-versicolor,,9.043229512,,0.740885763,0.331739894,0.552899823,0.18798594,Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor,,8.179853299,,0.733509487,0.354529586,0.550132115,0.183377372,Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor,,7.245688373,,0.786674738,0.358834091,0.483045892,0.138013112,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor,,7.18748913,,0.765218549,0.333913548,0.528696452,0.15304371,Iris-versicolor
5.5,2.4,3.7,1,Iris-versicolor,,7.120393248,,0.772429248,0.337060035,0.519634221,0.140441681,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor,,7.588148654,,0.764349812,0.355818016,0.513959357,0.15814134,Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor,,8.477027781,,0.70779525,0.318507863,0.601625963,0.1887454,Iris-versicolor
5.4,3,4.5,1.5,Iris-versicolor,,7.788452991,,0.693334094,0.385185608,0.577778412,0.192592804,Iris-versicolor
6,3.4,4.5,1.6,Iris-versicolor,,8.388682853,,0.715249355,0.405307968,0.536437016,0.190733161,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor,,8.879189152,,0.754573406,0.349130979,0.529327613,0.168934345,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor,,8.125884567,,0.775300209,0.283046108,0.541479511,0.159982583,Iris-versicolor
5.6,3,4.1,1.3,Iris-versicolor,,7.672027112,,0.729924428,0.391030944,0.534408956,0.169446742,Iris-versicolor
5.5,2.5,4,1.3,Iris-versicolor,,7.361385739,,0.747141937,0.339609971,0.543375954,0.176597185,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor,,7.603288762,,0.723371185,0.341957287,0.578696948,0.15782644,Iris-versicolor
6.1,3,4.6,1.4,Iris-versicolor,,8.326463835,,0.732603915,0.360297007,0.552455411,0.168138603,Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor,,7.605261337,,0.76262994,0.341868594,0.525951683,0.157785505,Iris-versicolor
5,2.3,3.3,1,Iris-versicolor,,6.494613152,,0.769868795,0.354139646,0.508113405,0.153973759,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor,,7.614459928,,0.735442835,0.35458851,0.551582127,0.170727801,Iris-versicolor
5.7,3,4.2,1.2,Iris-versicolor,,7.782673063,,0.732396177,0.385471672,0.539660341,0.154188669,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor,,7.760798928,,0.734460466,0.373672869,0.541181396,0.167508527,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor,,8.187185108,,0.757281033,0.354212096,0.525211039,0.158784733,Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor,,6.516901104,,0.782580542,0.383617913,0.460341495,0.168791882,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor,,7.670071708,,0.743148202,0.365055257,0.534545198,0.169489941,Iris-versicolor
